genome	fastbaps_group	n_contigs	N50	total_len	assembly_level	checkm_completeness	checkm_contamination	seq_tech	strain	isolate
GCA_056470205.1	10	45	99659	1847991	Scaffold	99.15		BGI	FT16-2017	
GCA_056470225.1	10	34	157161	1876353	Scaffold	99.47		BGI	FS3-2011	
GCA_056470265.1	10	38	118881	1892148	Scaffold	99.47		BGI	FS2-2013	
GCA_056470285.1	10	42	83776	1892812	Scaffold	99.47		BGI	FS001-2013	
GCA_056471645.1	10	34	99566	1801890	Scaffold	98.9		BGI	DX14-2017	
GCA_056471665.1	10	47	99659	1848986	Scaffold	99.14		BGI	DX12-2017	
GCA_056471705.1	10	52	98586	1910017	Scaffold	99.47		BGI	DX10-2011	
GCA_056471745.1	10	43	99579	1828055	Scaffold	98.29		BGI	DC20-2011	
GCA_056471785.1	10	32	99568	1804935	Scaffold	99.2		BGI	CY42-2017	
GCA_056471805.1	10	48	87693	1847450	Scaffold	99.14		BGI	DC10-2011	
GCA_056471845.1	10	41	98378	1826442	Scaffold	98.75		BGI	CY28-2017	
GCA_056471865.1	10	41	101318	1854919	Scaffold	98.97		BGI	CY36-2011	
GCA_056471905.1	10	32	130873	1775920	Scaffold	99.25		BGI	CP15-2017	
GCA_056471925.1	10	62	93935	1920927	Scaffold	98.81		BGI	CP8-2011	
GCA_056471945.1	10	40	104793	1843810	Scaffold	98.14		BGI	CD-CP13-2017-M12	
GCA_056471965.1	10	40	98956	1848957	Scaffold	99.14		BGI	BJSY2018XHR057-M12	
GCA_056472045.1	10	45	98659	1845951	Scaffold	99.14		BGI	A1911010-M12	
GCA_056472105.1	10	63	98170	1842676	Scaffold	99.14		BGI	2019XC5-M12	
GCA_056472125.1	10	57	120261	1805238	Scaffold	99.14		BGI	2019XC3-M12	
GCA_056472145.1	10	64	91536	1845396	Scaffold	99.03		BGI	2019TZ9-M12	
GCA_056472165.1	10	65	87709	1844975	Scaffold	99.14		BGI	2019TZ6-M12	
GCA_056472185.1	10	39	99627	1814964	Scaffold	99.06		BGI	2019SY6-M12	
GCA_056472205.1	10	45	94871	1817762	Scaffold	99.25		BGI	2019SY5-M12	
GCA_056472225.1	10	43	94839	1814788	Scaffold	99.06		BGI	2019SY3-M12	
GCA_056472245.1	10	45	85991	1816803	Scaffold	99.25		BGI	2019SY1-M12	
GCA_056472265.1	10	65	87709	1847324	Scaffold	99.25		BGI	2019HLJZZT-M12	
GCA_056472325.1	10	53	120245	1802272	Scaffold	99.14		BGI	2019HD10-M12	
GCA_056472345.1	10	42	94855	1818755	Scaffold	99.25		BGI	2019FS1-M12	
GCA_056472365.1	10	66	120261	1810715	Scaffold	98.92		BGI	2019DX7-M12	
GCA_056472375.1	10	65	98154	1845971	Scaffold	98.92		BGI	2019DX14-M12	
GCA_056472405.1	10	69	87709	1850308	Scaffold	99.21		BGI	2019CY8-M12	
GCA_056472465.1	10	41	99595	1835313	Scaffold	99.21		BGI	2018SY32-M12	
GCA_056472485.1	10	49	98170	1847517	Scaffold	98.58		BGI	2018SY-2-M12	
GCA_056472505.1	10	35	99659	1819460	Scaffold	99.25		BGI	2018SY26-M12	
GCA_056472545.1	10	39	99659	1848732	Scaffold	99.14		BGI	2018SY25-M12	
GCA_056472565.1	10	40	98646	1828086	Scaffold	98.47	0.04	BGI	2018SY23-M12	
GCA_056472585.1	10	34	99659	1819042	Scaffold	99.25		BGI	2018SY-1-M12	
GCA_056472645.1	10	44	99659	1783915	Scaffold	99.14		BGI	2018FT-2-M12	
GCA_056472665.1	10	44	98602	1848432	Scaffold	99.25		BGI	2018CP4-M12	
GCA_056472685.1	10	40	98378	1825542	Scaffold	99.04		BGI	2018F3-23-M12	
GCA_056472705.1	10	35	99659	1819244	Scaffold	99.25		BGI	2018CP2-M12	
GCA_056472745.1	10	33	99563	1804083	Scaffold	98.92		BGI	2018CP-1-M12	
GCA_056472765.1	10	34	99579	1805031	Scaffold	99.03		BGI	2016XC19-M12	
GCA_056472785.1	10	44	98818	1848869	Scaffold	99.25		BGI	2016XC16-M12	
GCA_056472805.1	10	67	87709	1847811	Scaffold	99.25		BGI	2016TZ10-M12	
GCA_056472845.1	10	45	94855	1817469	Scaffold	99.25		BGI	2016MY5-M12	
GCA_056472885.1	10	36	99659	1819444	Scaffold	99.25		BGI	2016HR9-M12	
GCA_056472905.1	10	45	99643	1848145	Scaffold	98.81		BGI	2016FT9-M12	
GCA_056472925.1	10	44	98769	1847670	Scaffold	99.14		BGI	2016FS7-M12	
GCA_056472965.1	10	43	99659	1848985	Scaffold	98.58		BGI	2016CY15-M12	
GCA_056472985.1	10	40	99530	1833631	Scaffold	99.25		BGI	2016CY14-M12	
GCA_056473005.1	10	45	98602	1850119	Scaffold	99.14		BGI	2016CDYQ1-M12	
GCA_056473025.1	10	41	98602	1848313	Scaffold	98.58		BGI	2016CDXC2-M12	
GCA_056473065.1	10	47	98549	1829861	Scaffold	98.47		BGI	2016CDPG1-M12	
GCA_056473105.1	10	46	99659	1863892	Scaffold	99.11		BGI	2016CDMTG1-M12	
GCA_056473145.1	10	37	101259	1869350	Scaffold	99.47		BGI	2016CDFS4-M12	
GCA_056473165.1	10	33	99659	1819634	Scaffold	99.25		BGI	2016CDCY-9-M12	
GCA_056473185.1	10	43	99578	1830953	Scaffold	98.79		BGI	2016CDFS2-M12	
GCA_056473205.1	10	59	99678	1920247	Scaffold	99.47		BGI	2016CDCY1-M12	
GCA_056473225.1	10	44	98602	1849234	Scaffold	99.08		BGI	2015TZ006-M12	
GCA_056473245.1	10	43	99595	1835409	Scaffold	98.58		BGI	2015SY013-M12	
GCA_056473265.1	10	34	130403	1793275	Scaffold	99.14		BGI	2015SY005-M12	
GCA_056473325.1	10	42	99595	1838043	Scaffold	99.25		BGI	2015SJS01-M12	
GCA_056473345.1	10	48	96919	1825983	Scaffold	99.14		BGI	2015SJS005-M12	
GCA_056473385.1	10	45	99643	1848102	Scaffold	99.14		BGI	2015MY02-M12	
GCA_056473405.1	10	43	122293	1828418	Scaffold	98.92		BGI	2015HD12-M12	
GCA_056473465.1	10	30	99550	1801520	Scaffold	98.87		BGI	2015FT-02-M12	
GCA_056473485.1	10	34	164304	1892944	Scaffold	99.47		BGI	2015DX-18-M12	
GCA_056473505.1	10	38	119245	1885926	Scaffold	99.47		BGI	2015DX-17-M12	
GCA_056473525.1	10	43	99521	1831537	Scaffold	99.01		BGI	2015DX-10-M12	
GCA_056473545.1	10	43	99627	1840755	Scaffold	99.14		BGI	2015DX-09-M12	
GCA_056473565.1	10	44	98602	1849478	Scaffold	99.14		BGI	2015DX08-M12	
GCA_056473585.1	10	43	98602	1849298	Scaffold	99.25		BGI	2015DX001-M12	
GCA_056473605.1	10	48	93868	1836438	Scaffold	99.25		BGI	2015DC-001-M12	
GCA_056473625.1	10	46	98602	1848851	Scaffold	99.25		BGI	2015DC-08-M12	
GCA_056475185.1	10	33	130856	1810405	Scaffold	99.25		BGI	2015DX007-M12	
GCA_056475205.1	10	34	99659	1819253	Scaffold	99.25		BGI	2015DX005-M12	
GCA_056475225.1	10	38	99611	1859778	Scaffold	99.2		BGI	2015CY026-M12	
GCA_056475245.1	10	34	99659	1819183	Scaffold	99.25		BGI	2015DK004-M12	
GCA_056475285.1	10	42	98680	1849653	Scaffold	99.25		BGI	2015CY024-M12	
GCA_056475345.1	10	33	99659	1823706	Scaffold	99.25		BGI	2015CY009-M12	
GCA_056475365.1	10	35	99659	1818838	Scaffold	99.25		BGI	2015CP004-M12	
GCA_056475405.1	10	43	94855	1816866	Scaffold	99.25		BGI	2014CYS5-M12	
GCA_056475425.1	10	45	91310	1816251	Scaffold	99.25		BGI	2014CYS2-M12	
GCA_056475445.1	10	42	99595	1839079	Scaffold	99.21		BGI	2014CYAY-15-M12	
GCA_056475485.1	10	43	99579	1832111	Scaffold	99.15		BGI	2014CYAY024-M12	
GCA_056475505.1	10	42	99659	1849371	Scaffold	98.58		BGI	2014CYAY009-M12	
GCA_056475525.1	10	36	99659	1819162	Scaffold	99.25		BGI	2014CYAY004-M12	
GCA_056475565.1	10	44	98602	1848954	Scaffold	99.14		BGI	2014CY49-M12	
GCA_056475605.1	10	44	98674	1849387	Scaffold	98.97		BGI	2014CY43-M12	
GCA_056475645.1	10	40	105049	1836828	Scaffold	99.25		BGI	2014CY40-M12	
GCA_056475665.1	10	66	87693	1844744	Scaffold	99.25		BGI	2014CY33-M12	
GCA_056475705.1	10	45	99659	1849922	Scaffold	98.97		BGI	2014CPAY006-M12	
GCA_056475725.1	10	73	101319	1880811	Scaffold	99.47		BGI	2013SZ46-M12	
GCA_056475745.1	10	44	94871	1816971	Scaffold	99.25		BGI	2013SZ45-M12	
GCA_056475765.1	10	65	81285	1844714	Scaffold	99.22		BGI	2013SZ44-M12	
GCA_056475785.1	10	67	81335	1846172	Scaffold	99.25		BGI	2013SZ43-M12	
GCA_056475805.1	10	68	81335	1844883	Scaffold	99.21		BGI	2013SZ42-M12	
GCA_056475825.1	10	41	94839	1814387	Scaffold	99.25		BGI	2013SZ40-M12	
GCA_056475845.1	10	41	99627	1814501	Scaffold	99.25		BGI	2013SZ39-M12	
GCA_056475865.1	10	75	101319	1880803	Scaffold	99.47		BGI	2013SZ29-M12	
GCA_056475885.1	10	75	101319	1881592	Scaffold	99.47		BGI	2013SZ28-M12	
GCA_056475905.1	10	65	87709	1846422	Scaffold	99.25		BGI	2013SZ24-M12	
GCA_056475925.1	10	71	98189	1878439	Scaffold	99.47		BGI	2013SZ21-M12	
GCA_056475945.1	10	64	87709	1846775	Scaffold	99.25		BGI	2013SZ17-M12	
GCA_056475965.1	10	73	101319	1882999	Scaffold	99.47		BGI	2013SZ16-M12	
GCA_056475985.1	10	70	98189	1887933	Scaffold	99.47		BGI	2013SZ13-M12	
GCA_056476005.1	10	38	120229	1777465	Scaffold	99.25		BGI	2013SZ12-M12	
GCA_056476025.1	10	65	87709	1848256	Scaffold	99.25		BGI	2013SZ10-M12	
GCA_056476045.1	10	46	98836	1850121	Scaffold	99.2		BGI	2013DX8-M12	
GCA_056476085.1	10	47	99643	1848828	Scaffold	99.25		BGI	2013CY023-M12	
GCA_056476125.1	10	36	119245	1892888	Scaffold	99.47		BGI	2013CY015-M12	
GCA_056476145.1	10	55	99630	1879200	Scaffold	99.47		BGI	2013CP011-M12	
GCA_056476165.1	10	46	99643	1991462	Scaffold	99.25		BGI	2013CP007-M12	
GCA_056476185.1	10	60	98792	1904775	Scaffold	99.47		BGI	2013CP003-M12	
GCA_056476225.1	10	44	98491	1849484	Scaffold	99.14		BGI	2012YQ21-M12	
GCA_056476245.1	10	43	81317	1855933	Scaffold	99.25		BGI	2012YQ1-M12	
GCA_056476265.1	10	38	119245	1891803	Scaffold	99.47		BGI	2012XCB24-M12	
GCA_056476285.1	10	36	119213	1887794	Scaffold	99.47		BGI	2012XC8-M12	
GCA_056476305.1	10	38	101259	1891905	Scaffold	99.47		BGI	2012XC3-M12	
GCA_056476405.1	10	50	101287	1880433	Scaffold	99.03		BGI	2012MTG-6-M12	
GCA_056476485.1	10	43	148482	1880526	Scaffold	99.47		BGI	1993BJGAS10	
GCF_000006785.2	9	1	1852433	1852433	Complete Genome	99.53			SF370	
GCF_000007285.1	15	1	1895017	1895017	Complete Genome	99.45			MGAS8232	
GCF_000007425.1	6	1	1900521	1900521	Complete Genome	99.28			MGAS315	
GCF_000009385.1	15	1	1841271	1841271	Complete Genome	99.34			Manfredo	
GCF_000011285.1	6	1	1894275	1894275	Complete Genome	99.2			SSI-1	
GCF_000011665.1	15	1	1899877	1899877	Complete Genome	99.02	0.08		MGAS10394	
GCF_000011765.3	9	1	1838562	1838562	Complete Genome	99.72			MGAS5005	
GCF_000012165.2	3	1	1897578	1897578	Complete Genome	99.02			MGAS6180	
GCF_000013485.1	10	1	1836467	1836467	Complete Genome	97.93			MGAS9429	
GCF_000013505.1	11	1	1928252	1928252	Complete Genome	97.13	0.08		MGAS10270	
GCF_000013545.1	1	1	1937111	1937111	Complete Genome	97.34			MGAS10750	
GCF_000018125.1	14	1	1815785	1815785	Complete Genome	96.13			NZ131; ATCC BAA-1633	
GCF_000146715.1	12	29	1838678	1917082	Scaffold	96.66		454	ATCC 10782	
GCF_000167435.2	14	1	1762765	1762765	Complete Genome	98.67		Illumina MiSeq; Oxford Nanopore MinION	M49 591	
GCF_000230295.1	13	1	1827308	1827308	Complete Genome	99.44			Alab49	
GCF_000250905.1	2	1	1750832	1750832	Complete Genome	99.69	0.08		MGAS15252	
GCF_000250925.1	2	1	1781029	1781029	Complete Genome	99.36	0.08		MGAS1882	
GCF_000275625.1	10	1	1908100	1908100	Complete Genome	99.25		454 GS FLX titanium	HKU QMH11M0907901	
GCF_000290575.1	10	45	99627	1849643	Scaffold	99.25		Illumina HiSeq	BJCYGAS15	
GCF_000290595.1	10	30	119326	1896097	Scaffold	99.43		Illumina HiSeq	HLJGAS12011	
GCF_000307535.1	9	1	1837281	1837281	Complete Genome	99.72			A20	
GCF_000349925.2	9	1	1831128	1831128	Complete Genome	99.72		ABI3730xl, Roche 454, Illumina MiSeq	M1 476	
GCF_000422045.1	13	1	1818351	1818351	Complete Genome	98.42		454; Illumina	HSC5	
GCF_000629625.1	6	8	1116435	1875090	Scaffold	99.16	1.44	Illumina	ABC020060793	
GCF_000629645.1	10	3	1560266	1821795	Scaffold	99.47		Illumina	ABC020054973	
GCF_000629665.1	6	4	1398483	1902745	Scaffold	99.16		Illumina	ABC020052558	
GCF_000629685.1	9	2	1818419	1830053	Scaffold	99.72		Illumina	ABC020052543	
GCF_000629705.1	9	2	1818513	1830147	Scaffold	99.72		Illumina	ABC020052291	
GCF_000629725.1	6	7	1002117	1874309	Scaffold	99.19		Illumina	ABC020048541	
GCF_000629745.1	10	7	964518	1795084	Scaffold	99.47		Illumina	ABC020048184	
GCF_000629765.1	6	7	1013030	1806779	Scaffold	99.16		Illumina	ABC020047959	
GCF_000629785.1	9	2	1823095	1834729	Scaffold	99.72		Illumina	ABC020047925	
GCF_000629805.1	6	6	1064087	1878399	Scaffold	99.16		Illumina	ABC020047395	
GCF_000629825.1	6	2	1891031	1894218	Scaffold	99.28		Illumina	ABC020044412	
GCF_000629845.1	6	4	1304800	1818013	Scaffold	99.16		Illumina	ABC020044010	
GCF_000629865.1	10	6	1004497	1815494	Scaffold	99.47		Illumina	ABC020035427	
GCF_000629885.1	10	4	1257679	1786271	Scaffold	99.36		Illumina	ABC020032183	
GCF_000629905.1	10	8	969461	1817840	Scaffold	99.47	0.2	Illumina	ABC020031898	
GCF_000629925.1	10	3	1729869	1824518	Scaffold	99.14		Illumina	ABC020026946	
GCF_000629945.1	6	2	1896751	1899938	Scaffold	99.28		Illumina	ABC020025676	
GCF_000629965.1	10	5	1006040	1811507	Scaffold	99.41		Illumina	ABC020016937	
GCF_000629985.1	9	2	1826675	1830882	Scaffold	99.55		Illumina	ABC020015294	
GCF_000630005.1	6	2	1890867	1894054	Scaffold	99.28		Illumina	ABC020015292	
GCF_000630025.1	10	6	1061149	1872146	Scaffold	99.47		Illumina	ABC020015285	
GCF_000630045.1	10	4	1518543	1778685	Scaffold	99.47		Illumina	ABC020015277	
GCF_000630065.1	10	6	1292329	1821930	Scaffold	99.47		Illumina	ABC020014690	
GCF_000630085.1	6	2	1892243	1895430	Scaffold	99.28		Illumina	ABC020013551	
GCF_000630105.1	10	2	1539788	1793896	Scaffold	99.47		Illumina	ABC020010041	
GCF_000630125.1	10	8	968086	1816396	Scaffold	99.46	0.2	Illumina	ABC020009156	
GCF_000630145.1	10	6	968208	1805673	Scaffold	99.47		Illumina	ABC020007794	
GCF_000630165.1	10	5	1251210	1793751	Scaffold	99.25		Illumina	ABC020006309	
GCF_000630185.1	6	3	780447	1851790	Scaffold	99.28		Illumina	ABC020006298	
GCF_000630205.1	10	5	1307929	1849589	Scaffold	99.14		Illumina	ABC020005405	
GCF_000630225.1	6	7	1072360	1884106	Scaffold	98.52		Illumina	ABC020004984	
GCF_000630245.1	10	3	1759362	1833037	Scaffold	99.43		Illumina	ABC020058759	
GCF_000630265.1	9	2	1821335	1832999	Scaffold	99.72		Illumina	ABC020056885	
GCF_000630285.1	6	5	1068527	1891411	Scaffold	99.16		Illumina	ABC020054955	
GCF_000630305.1	10	3	1523243	1787752	Scaffold	99.42		Illumina	ABC020054871	
GCF_000630325.1	6	6	1023897	1864461	Scaffold	99.16		Illumina	ABC020052420	
GCF_000630345.1	10	4	1560498	1820773	Scaffold	99.47		Illumina	ABC020052216	
GCF_000630365.1	10	6	1007077	1812768	Scaffold	99.38		Illumina	ABC020052203	
GCF_000630385.1	10	5	969603	1776521	Scaffold	99.22		Illumina	ABC020050731	
GCF_000630405.1	9	2	1818419	1830053	Scaffold	99.72		Illumina	ABC020049250	
GCF_000630425.1	10	7	464476	1754520	Scaffold	99.38		Illumina	ABC020048543	
GCF_000630445.1	6	5	1019521	1874738	Scaffold	99.16		Illumina	ABC020048395	
GCF_000630465.1	10	8	483516	1778410	Scaffold	99.46		Illumina	ABC020047993	
GCF_000630485.1	9	2	1815403	1832285	Scaffold	99.72		Illumina	ABC020046470	
GCF_000630505.1	10	4	1488989	1828295	Scaffold	99.42		Illumina	ABC020046264	
GCF_000630525.1	6	7	1022917	1827080	Scaffold	99.16		Illumina	ABC020044193	
GCF_000630545.1	6	10	1053821	1906120	Scaffold	98.38		Illumina	ABC020044188	
GCF_000630565.1	9	4	1555899	1835634	Scaffold	99.72		Illumina	ABC020044173	
GCF_000630585.1	10	6	1125571	1796472	Scaffold	99.25	0.73	Illumina	ABC020039391	
GCF_000630605.1	6	3	1591346	1825955	Scaffold	99.16		Illumina	ABC020038558	
GCF_000630625.1	10	4	1214457	1786550	Scaffold	99.46		Illumina	ABC020033799	
GCF_000630645.1	10	8	967941	1811103	Scaffold	99.46	0.2	Illumina	ABC020033193	
GCF_000630665.1	10	8	980385	1860470	Scaffold	99.14	0.2	Illumina	ABC020032523	
GCF_000630685.1	6	6	1343895	1853410	Scaffold	99.28		Illumina	ABC020032182	
GCF_000630705.1	10	2	1733519	1790197	Scaffold	99.47		Illumina	ABC020031290	
GCF_000630725.1	13	3	1485598	1739672	Scaffold	99.33		Illumina	ABC020030925	
GCF_000630745.1	10	3	1751159	1824834	Scaffold	99.47		Illumina	ABC020029793	
GCF_000630765.1	9	2	1833468	1845102	Scaffold	99.72		Illumina	ABC020029711	
GCF_000630785.1	6	7	1062280	1868152	Scaffold	99.16		Illumina	ABC020026799	
GCF_000630805.1	6	3	1355571	1870930	Scaffold	98.33		Illumina	ABC020026287	
GCF_000630825.1	6	5	1015082	1817448	Scaffold	98.52		Illumina	ABC020017526	
GCF_000630845.1	6	5	1137915	1864746	Scaffold	98.19		Illumina	ABC020014925	
GCF_000630865.1	6	7	1059641	1873446	Scaffold	98.39		Illumina	ABC020014897	
GCF_000630885.1	10	5	1291223	1816444	Scaffold	99.47		Illumina	ABC020014529	
GCF_000630905.1	10	5	1005422	1817427	Scaffold	99.43		Illumina	ABC020013952	
GCF_000630925.1	6	7	1061953	1866268	Scaffold	98.52		Illumina	ABC020006103	
GCF_000630945.1	9	2	1813645	1830528	Scaffold	99.59		Illumina	ABC020005887	
GCF_000630965.1	6	2	1891962	1895149	Scaffold	99.19		Illumina	ABC020057192	
GCF_000630985.1	6	9	1070164	1883545	Scaffold	99.16		Illumina	ABC020052497	
GCF_000631005.1	6	5	1321183	1852327	Scaffold	98.41		Illumina	ABC020047619	
GCF_000631025.1	6	6	1061686	1901054	Scaffold	98.52		Illumina	ABC020047076	
GCF_000631045.1	6	2	1891993	1895180	Scaffold	99.19		Illumina	ABC020056898	
GCF_000631065.1	6	2	1894212	1897399	Scaffold	99.19		Illumina	ABC020056891	
GCF_000631085.1	6	7	1022947	1801287	Scaffold	99.16		Illumina	ABC020056060	
GCF_000631105.1	6	7	1017821	1830563	Scaffold	99.16		Illumina	ABC020044203	
GCF_000631125.1	6	6	1015099	1807778	Scaffold	99.16		Illumina	ABC020057449	
GCF_000631145.1	6	19	289478	1863294	Scaffold	99.16		Illumina	ABC020057168	
GCF_000631165.1	6	7	530150	1870620	Scaffold	99.19		Illumina	ABC020052378	
GCF_000631185.1	6	8	1057954	1854744	Scaffold	98.52		Illumina	ABC020043540	
GCF_000631205.1	6	4	1511334	1822778	Scaffold	99.16		Illumina	ABC020033020	
GCF_000631225.1	6	8	1055285	1844873	Scaffold	98.49		Illumina	ABC020030063	
GCF_000631245.1	6	10	1065069	1859016	Scaffold	99.16	0.67	Illumina	ABC020056064	
GCF_000631265.1	6	7	1062484	1900613	Scaffold	99.16		Illumina	ABC020055897	
GCF_000631285.1	6	8	1012702	1820495	Scaffold	99.16	0.07	Illumina	ABC020053240	
GCF_000631305.1	6	7	1017540	1849232	Scaffold	99.16		Illumina	ABC020052519	
GCF_000631325.1	6	2	1065189	1814579	Scaffold	99.16		Illumina	ABC020049540	
GCF_000631345.1	6	3	1221554	1750929	Scaffold	98.52		Illumina	ABC020048885	
GCF_000631365.1	6	8	935423	1730798	Scaffold	98.49		Illumina	ABC020041424	
GCF_000631385.1	9	3	1520687	1800331	Scaffold	99.56		Illumina	ABC020057288	
GCF_000631405.1	9	2	1814332	1831171	Scaffold	99.59		Illumina	ABC020051161	
GCF_000631425.1	9	1	1846773	1846773	Scaffold	99.72		Illumina	ABC020056020	
GCF_000631445.1	10	7	966131	1816688	Scaffold	99.47		Illumina	ABC020039031	
GCF_000631465.1	10	7	961878	1827734	Scaffold	99.14		Illumina	ABC020037542	
GCF_000631485.1	10	4	1442044	1785145	Scaffold	99.47		Illumina	ABC020035446	
GCF_000631505.1	10	5	973395	1806785	Scaffold	99.47		Illumina	ABC020033919	
GCF_000631525.1	10	9	465591	1803260	Scaffold	99.37		Illumina	ABC020032186	
GCF_000631545.1	10	6	965011	1821548	Scaffold	99.47		Illumina	ABC020033233	
GCF_000631565.1	10	3	1677988	1762669	Scaffold	99.47		Illumina	ABC020029706	
GCF_000631585.1	10	6	973358	1801187	Scaffold	99.36		Illumina	ABC020062601	
GCF_000631605.1	10	5	1291148	1819008	Scaffold	99.47		Illumina	ABC020062474	
GCF_000631625.1	10	3	1562853	1823215	Scaffold	99.47		Illumina	ABC020060220	
GCF_000631645.1	10	5	1291412	1820400	Scaffold	99.47		Illumina	ABC020056794	
GCF_000631665.1	10	4	1524843	1786787	Scaffold	99.47		Illumina	ABC020048262	
GCF_000631685.1	10	6	1005633	1811115	Scaffold	99.47		Illumina	ABC020046534	
GCF_000631705.1	10	3	1764954	1838629	Scaffold	99.43		Illumina	ABC020046559	
GCF_000631725.1	10	8	994577	1898382	Scaffold	99.35	0.53	Illumina	ABC020046158	
GCF_000631745.1	10	6	1449290	1828387	Scaffold	99.47		Illumina	ABC020064181	
GCF_000631765.1	10	6	1004471	1813641	Scaffold	99.47		Illumina	ABC020054184	
GCF_000631785.1	10	6	1016083	1843092	Scaffold	99.41		Illumina	ABC020053060	
GCF_000631805.1	10	5	1249497	1776724	Scaffold	99.44		Illumina	ABC020040643	
GCF_000631825.1	10	5	1003858	1829924	Scaffold	99.47		Illumina	ABC020038544	
GCF_000631845.1	10	4	1253906	1800465	Scaffold	99.47	1.33	Illumina	ABC020060777	
GCF_000631865.1	10	9	1004004	1774590	Scaffold	99.39	3.11	Illumina	ABC020056894	
GCF_000631885.1	10	6	1004086	1823256	Scaffold	99.47		Illumina	ABC020056884	
GCF_000631905.1	10	6	1005614	1811771	Scaffold	99.47		Illumina	ABC020047635	
GCF_000631925.1	10	3	1564807	1807838	Scaffold	98.81		Illumina	ABC020047506	
GCF_000631945.1	10	5	1250708	1790174	Scaffold	99.47		Illumina	ABC020047086	
GCF_000685485.1	9	39	119012	1793962	Scaffold	99.72	0.1	Illumina GAII	Lacen1	
GCF_000685505.1	9	100	49075	1762823	Scaffold	99.72	0.25	Illumina GAII	Lacen2	
GCF_000685525.1	15	98	102375	1815423	Scaffold	99.34	0.08	Illumina GAII	Lacen5	
GCF_000685545.1	9	50	93866	1795205	Scaffold	99.66	0.1	Illumina GAII	Lacen4	
GCF_000685565.1	9	72	55478	1794996	Scaffold	99.06	0.1	Illumina GAII	Lacen3	
GCF_000732345.1	13	1	1709442	1709442	Chromosome	98.63		Illumina	STAB1102	
GCF_000732425.1	6	1	1892124	1892124	Complete Genome	99.28		Illumina; PCR+Sanger	STAB902	
GCF_000743015.1	13	1	1844804	1844804	Complete Genome	98.75		Illumina; 454	ATCC 19615	
GCF_000756485.1	12	1	1846477	1846477	Complete Genome	99.03		454; Illumina	M23ND	
GCF_000767505.1	13	1	1709790	1709790	Complete Genome	97.96		Illumina	7F7	
GCF_000772185.1	10	1	1944537	1944537	Complete Genome	99.47		PacBio	HKU360	
GCF_000772245.1	12	1	1796152	1796152	Complete Genome	99.26		Illumina	1E1	
GCF_000993765.1	9	1	1908294	1908294	Complete Genome	99.57		Illumina MiSeq	AP1	
GCF_001014285.1	15	1	1811968	1811968	Complete Genome	99.29	0.08	454; Illumina	JRS4	
GCF_001014305.1	15	1	1811968	1811968	Complete Genome	99.29	0.08	Illumina	D471	
GCF_001019635.1	12	1	1915554	1915554	Complete Genome	99.28		PacBio	NGAS743	
GCF_001019675.1	12	1	1791306	1791306	Complete Genome	98.91		PacBio	NGAS596	
GCF_001019695.1	13	1	1702054	1702054	Complete Genome	98.58		PacBio	NGAS327	
GCF_001020185.2	3	1	1896976	1896976	Complete Genome	98.94		Illumina	M28PF1	
GCF_001021955.1	9	1	1829516	1829516	Complete Genome	99.72		Illumina HiSeq 2000	5448	
GCF_001023495.1	3	1	1950454	1950454	Complete Genome	98.94		Illumina	STAB10015	
GCF_001039695.1	5	1	1726248	1726248	Complete Genome	98.1			H293	
GCF_001051095.1	9	1	1943415	1943415	Complete Genome	99.72		PacBio	HKU488	
GCF_001182065.1	14	22	231055	1948513	Scaffold	99.32		Illumina MiSeq	G773	
GCF_001267805.1	12	1	1950469	1950469	Complete Genome	99.76	0.15	SMRT PacBio	NGAS322	
GCF_001267845.1	13	1	1791401	1791401	Complete Genome	99.33		SMRT PacBio	NGAS638	
GCF_001535565.1	3	1	1878699	1878699	Complete Genome	95.85		PacBio	MEW123	
GCF_001547715.1	15	1	1811124	1811124	Complete Genome	99.18	0.08	Sanger; Roche 454	JRS4	
GCF_001547835.1	9	1	1744827	1744827	Complete Genome	97.09		454 GS Jr; ABI 3730	MTB314	
GCF_001559175.2	9	1	1839644	1839644	Complete Genome	99.72		PacBio; Illumina	FDAARGOS_149	
GCF_001620285.1	13	1	1860554	1860554	Complete Genome	99.44		Illumina	AP53	
GCF_001635895.1	5	1	1786874	1786874	Complete Genome	98.1		Sanger dideoxy sequencing; Illumina	MGAS11027	
GCF_001635935.1	5	1	1709394	1709394	Complete Genome	98.07		Sanger dideoxy sequencing; Illumina	MGAS23530	
GCF_001635975.1	5	1	1741348	1741348	Complete Genome	98.1		Sanger dideoxy sequencing; Illumina	MGAS27061	
GCF_001638275.1	4	19	246323	1878702	Scaffold	99.76		Illumina HiSeq	SST2095-1	
GCF_001638325.1	13	20	169279	1792762	Scaffold	99.57		Illumina HiSeq	SST1020-1	
GCF_001638345.1	13	16	252913	1801299	Scaffold	99.68		Illumina HiSeq	SST1021-1	
GCF_001638385.1	13	14	242954	1743826	Scaffold	99.37		Illumina HiSeq	SST1023-1	
GCF_001638405.1	13	26	94030	1768435	Scaffold	99.39		Illumina HiSeq	SST1024-1	
GCF_001638435.1	13	21	169838	1791360	Scaffold	99.68		Illumina HiSeq	SST1028-1	
GCF_001638485.1	13	17	198595	1747406	Scaffold	99.37		Illumina HiSeq	SST2096-1	
GCF_001638545.1	13	15	213977	1756972	Scaffold	99.33		Illumina HiSeq	SST2098-1	
