qg	qfocal	p_recent	n
GCF_035918595.1	focal	0.375	16
GCF_036347555.1	focal	0.947916666666667	192
GCF_036347575.1	other	0.695652173913044	46
GCF_036347595.1	focal	0.939759036144578	166
GCF_036353505.2	other	0.975	80
GCF_037095955.1	other	0.5	4
GCF_038385395.1	other	0.789473684210526	76
GCF_038386885.1	other	0.789473684210526	76
GCF_039619335.1	focal	0	4
GCF_039889385.1	other	0.5	4
GCF_041071735.1	other	0.666666666666667	6
GCF_041071845.1	other	0.666666666666667	6
GCF_041072535.1	other	0.666666666666667	6
GCF_041072725.1	other	0.666666666666667	6
GCF_041072835.1	other	0.666666666666667	6
GCF_041073745.1	other	0.666666666666667	6
GCF_041074175.1	other	0.666666666666667	6
GCF_041074825.1	other	0.75	8
GCF_041429915.1	other	0.916666666666667	72
GCF_041429935.1	other	0.984126984126984	63
GCF_041429945.1	other	0.739130434782609	46
GCF_041430105.1	other	0.6	60
GCF_041430535.1	focal	0.785714285714286	56
GCF_041430835.1	other	0.608695652173913	46
GCF_041430845.1	other	0.978723404255319	141
GCF_041430855.1	other	0.875	16
GCF_041430865.1	other	0.953846153846154	65
GCF_041430875.1	other	0.75	16
GCF_041430885.1	other	0.68421052631579	76
GCF_041430895.1	other	0.75	16
GCF_041430915.1	other	0.875	16
GCF_041430925.1	other	0.875	16
GCF_041430935.1	other	0.941176470588235	34
GCF_041430945.1	other	0.875	16
GCF_041430955.1	other	0.941176470588235	34
GCF_041430965.1	other	0.666666666666667	6
GCF_041430975.1	other	0.6	60
GCF_041430985.1	other	0.916666666666667	48
GCF_041430995.1	other	0.975	80
GCF_041431005.1	other	0.666666666666667	6
GCF_041431015.1	other	0.941176470588235	34
GCF_041431025.1	other	0.916666666666667	48
GCF_041431035.1	other	0.857142857142857	7
GCF_041431045.1	other	0.565217391304348	46
GCF_041431055.1	other	0.941176470588235	34
GCF_041447185.1	other	0.565217391304348	46
GCF_041877915.1	other	0.333333333333333	3
GCF_041877945.1	focal	0.333333333333333	3
GCF_041877955.1	other	0.333333333333333	3
GCF_041878015.1	other	0	4
GCF_041878035.1	other	0	3
GCF_041878045.1	other	0.333333333333333	3
GCF_041878115.1	focal	0	2
GCF_041878155.1	other	0.8	5
GCF_041878175.1	focal	0.5	2
GCF_041878195.1	other	1	1
GCF_041878235.1	other	0.333333333333333	3
GCF_041878295.1	other	0	2
GCF_041878315.1	other	1	1
GCF_041878335.1	other	0	1
GCF_041878365.1	other	0	1
GCF_041900675.1	other	0.5	2
GCF_041900755.1	other	0.25	4
GCF_041900775.1	other	0	4
GCF_041900805.1	other	0	2
GCF_041900815.1	other	0	4
GCF_041900875.1	focal	1	3
GCF_041900915.1	other	0	1
GCF_041900945.1	focal	0.5	4
GCF_041900995.1	focal	0.5	2
GCF_041901015.1	other	0.285714285714286	7
GCF_041901025.1	other	0	1
GCF_041901035.1	other	0	6
GCF_041901045.1	other	0	5
GCF_041901115.1	other	0	1
GCF_041901165.1	other	0	3
GCF_041901195.1	other	0	3
GCF_041901205.1	other	0.166666666666667	6
GCF_041901295.1	other	0	4
GCF_041901305.1	other	0	2
GCF_041901325.1	other	0.333333333333333	3
GCF_041901595.1	focal	0.5	4
GCF_041901915.1	other	1	1
GCF_041901935.1	focal	0.5	2
GCF_041901985.1	focal	0.5	4
GCF_043231225.1	other	0.411764705882353	34
GCF_044360805.1	focal	0.956521739130435	46
GCF_044360885.1	other	0.979591836734694	49
GCF_044360945.1	other	0.979591836734694	49
GCF_044361035.1	other	0.979591836734694	49
GCF_044361075.1	other	0.972972972972973	37
GCF_044361135.1	other	0.972972972972973	37
GCF_044361195.1	other	0.972972972972973	37
GCF_044361245.1	other	0.956521739130435	69
GCF_044361285.1	other	1	62
GCF_045290375.1	other	0.789473684210526	76
GCF_045290385.1	other	0.789473684210526	76
GCF_045290395.1	other	0.789473684210526	76
GCF_045290405.1	other	0.789473684210526	76
GCF_045290435.1	other	0.789473684210526	76
GCF_045290545.1	other	0.789473684210526	76
GCF_045290615.1	other	0.789473684210526	76
GCF_045290705.1	other	0.789473684210526	76
GCF_045290995.1	other	0.973684210526316	76
GCF_045345455.1	focal	0.96551724137931	29
GCF_045690025.1	other	0.789473684210526	76
GCF_045690035.1	other	0.789473684210526	76
GCF_045690045.1	other	0.789473684210526	76
GCF_045690055.1	other	0.787234042553192	94
GCF_045690075.1	other	0.973684210526316	76
GCF_045690085.1	other	0.763157894736842	76
GCF_045690095.1	other	0.789473684210526	76
GCF_045690105.1	other	0.973684210526316	76
GCF_045690125.1	other	0.894736842105263	76
GCF_045690155.1	other	0.808510638297872	94
GCF_045690165.1	other	0.789473684210526	76
GCF_045690175.1	other	0.789473684210526	76
GCF_045690185.1	other	0.789473684210526	76
GCF_045690195.1	other	0.766666666666667	60
GCF_045690205.1	other	0.789473684210526	76
GCF_045690215.1	other	0.789473684210526	76
GCF_045690235.1	other	0.866666666666667	60
GCF_045690245.1	other	0.973684210526316	76
GCF_045690255.1	other	0.973684210526316	76
GCF_045690265.1	other	0.973684210526316	76
GCF_047370775.1	other	0	2
GCF_050823505.1	focal	0.166666666666667	6
GCF_050823515.1	other	0.521739130434783	46
GCF_050824005.1	other	0.4	10
GCF_051042455.1	other	0	2
GCF_051042475.1	other	0.333333333333333	3
GCF_051042495.1	other	0.5	2
GCF_051042515.1	other	0	2
GCF_051042535.1	other	1	1
GCF_051042555.1	other	0.666666666666667	3
GCF_051042575.1	other	0	2
GCF_051042595.1	other	0.166666666666667	6
GCF_051042615.1	other	0	3
GCF_051042635.1	other	0.333333333333333	3
GCF_051042655.1	other	0	4
GCF_051042675.1	other	0.333333333333333	3
GCF_051530245.1	other	0.973684210526316	76
GCF_051530255.1	other	0.789473684210526	76
GCF_051530265.1	other	0.789473684210526	76
GCF_051530275.1	other	0.973684210526316	76
GCF_051530295.1	other	0.789473684210526	76
GCF_051530305.1	other	0.789473684210526	76
GCF_051530315.1	other	0.894736842105263	76
GCF_051530325.1	other	0.695652173913044	46
GCF_051530385.1	other	0.956521739130435	46
GCF_051628085.1	other	0.419354838709677	62
GCF_054574805.1	other	0.222222222222222	9
GCF_054574825.1	other	0	5
GCF_054574835.1	other	0	4
GCF_054574865.1	other	0.333333333333333	3
GCF_054574875.1	other	0.333333333333333	3
GCF_054574905.1	focal	0	2
GCF_054574925.1	other	0	5
GCF_054574945.1	other	0	3
GCF_054574955.1	other	0.333333333333333	3
GCF_054574985.1	other	0.181818181818182	11
GCF_054574995.1	other	0	3
GCF_054575025.1	other	0	3
GCF_054575045.1	other	0	1
GCF_054575055.1	other	0.666666666666667	3
GCF_054575085.1	other	0.75	4
GCF_054575105.1	other	0.333333333333333	3
GCF_054575115.1	other	0.333333333333333	3
GCF_054575145.1	other	0.333333333333333	3
GCF_054575165.1	other	0	1
GCF_054575175.1	other	0	2
GCF_054575205.1	other	0	3
GCF_054575265.1	other	0	3
GCF_054575285.1	focal	0	2
GCF_054575305.1	other	0	3
GCF_054575325.1	other	0	3
GCF_054575345.1	other	0	5
GCF_054575365.1	other	0.125	8
GCF_054575375.1	other	0.333333333333333	3
GCF_054575405.1	other	0	3
GCF_054575425.1	other	0	3
GCF_054575445.1	other	0.333333333333333	3
GCF_054575465.1	other	0.333333333333333	3
GCF_054575485.1	other	0.333333333333333	3
GCF_054575505.1	other	0	2
GCF_054575525.1	other	0	3
GCF_054575545.1	other	0	3
GCF_054575565.1	other	0.333333333333333	3
GCF_054575585.1	other	0.666666666666667	3
GCF_054575605.1	other	0	1
GCF_054575625.1	other	0	3
GCF_054575645.1	other	0.333333333333333	3
GCF_054575665.1	other	0	2
GCF_054575685.1	other	0	3
GCF_054575705.1	other	0	3
GCF_054575725.1	other	0.333333333333333	3
GCF_054575745.1	other	0	5
GCF_054575765.1	other	0.75	4
GCF_054575785.1	other	0	3
GCF_054575805.1	other	0.333333333333333	3
GCF_054575825.1	other	0.333333333333333	3
GCF_054575845.1	other	0	3
GCF_054575865.1	other	0	3
GCF_054575885.1	other	0	5
GCF_054575905.1	other	0	3
GCF_054575925.1	other	0	5
GCF_054575945.1	other	0.333333333333333	3
GCF_054575965.1	other	0	3
GCF_054575985.1	other	0	5
GCF_054576005.1	other	0	5
GCF_054576025.1	other	0.4	5
GCF_054576045.1	other	0.666666666666667	3
GCF_054576065.1	other	0	3
GCF_054576085.1	other	0	3
GCF_054576105.1	other	0	3
GCF_054576125.1	other	0	5
GCF_054576145.1	other	0.5	2
GCF_054576165.1	other	0	5
GCF_054576185.1	other	0.5	2
GCF_054576205.1	other	0	5
GCF_054576225.1	other	0	3
GCF_054576245.1	other	0	3
GCF_054576265.1	other	0	3
GCF_054576285.1	other	0	5
GCF_054576305.1	other	0	5
GCF_054576325.1	other	0	5
GCF_054576345.1	other	0	3
GCF_054576365.1	other	0.5	2
GCF_054576385.1	other	0	5
GCF_054576405.1	other	0	5
GCF_054576445.1	other	0	3
GCF_054576465.1	other	0	3
GCF_054576485.1	other	0	3
GCF_054576505.1	other	0	5
GCF_054576525.1	other	0	3
GCF_054576545.1	other	0	2
GCF_054576605.1	other	0.333333333333333	3
GCF_054576645.1	focal	0	4
GCF_054576665.1	other	0.333333333333333	3
GCF_054576685.1	other	1	3
GCF_054576705.1	other	0.5	4
GCF_054576785.1	other	0	5
GCF_054576805.1	focal	1	2
GCF_054576825.1	other	0	3
GCF_054576865.1	other	1	1
GCF_054576885.1	other	0.333333333333333	3
GCF_054576905.1	focal	0	1
GCF_054576925.1	other	0.5	2
GCF_054576945.1	other	0	5
GCF_054576965.1	other	0	3
GCF_054576985.1	other	0	3
GCF_054577005.1	other	0	5
GCF_054577025.1	other	0.333333333333333	3
GCF_054577045.1	other	0.666666666666667	3
GCF_054577065.1	other	0	5
GCF_054577085.1	other	0	1
GCF_054577105.1	other	0.333333333333333	3
GCF_054577145.1	other	0	3
GCF_054577165.1	other	0	5
GCF_054577185.1	other	0.666666666666667	3
GCF_054577205.1	other	0.5	2
GCF_054577225.1	other	0.666666666666667	3
GCF_054577245.1	other	0	3
GCF_054577265.1	other	0.666666666666667	3
GCF_054577285.1	other	0	3
GCF_054577305.1	other	1	1
GCF_054577325.1	other	0	3
GCF_054577345.1	other	0.5	2
GCF_054577365.1	other	0	1
GCF_054577385.1	other	0	3
GCF_054577405.1	other	0.5	2
GCF_054577505.1	other	0.333333333333333	3
GCF_054577525.1	other	0.333333333333333	3
GCF_054577545.1	other	0	5
GCF_054577565.1	other	0.333333333333333	3
GCF_054577585.1	other	0.333333333333333	3
GCF_054577605.1	other	0.333333333333333	3
GCF_054577625.1	other	0.333333333333333	3
GCF_054577685.1	other	0.333333333333333	3
GCF_054577705.1	other	0	2
GCF_054577725.1	other	0	2
GCF_054577745.1	focal	0.5	4
GCF_054577765.1	other	0	1
GCF_054577785.1	other	0.333333333333333	3
GCF_054577805.1	other	0.333333333333333	3
GCF_054577825.1	other	0	5
GCF_054577845.1	other	0	2
GCF_054577865.1	other	0	3
GCF_054577885.1	other	0	3
GCF_054577905.1	other	0	5
GCF_054577925.1	other	0	5
GCF_054577945.1	other	0.333333333333333	3
GCF_054577965.1	other	0	3
GCF_054577985.1	other	0	3
GCF_054578005.1	other	0	3
GCF_054578025.1	other	0	5
GCF_054578045.1	other	0	5
GCF_054578065.1	other	0	3
GCF_054578085.1	other	0	5
GCF_054578105.1	other	0.666666666666667	3
GCF_054578125.1	other	0	5
GCF_054578145.1	other	0.333333333333333	3
GCF_054578165.1	other	0.666666666666667	3
GCF_054578185.1	other	0.333333333333333	3
GCF_054578205.1	other	0	2
GCF_054578225.1	other	0	3
GCF_054578245.1	other	0	2
GCF_054578265.1	other	0.333333333333333	3
GCF_054578305.1	other	0.333333333333333	3
GCF_054578325.1	other	0.5	2
GCF_054578345.1	other	0	5
GCF_054578365.1	other	0	3
GCF_054578385.1	other	0	5
GCF_054578405.1	other	0	3
GCF_054578425.1	other	0	1
GCF_054578445.1	other	0.333333333333333	3
GCF_054578465.1	focal	0	4
GCF_054578485.1	other	0.333333333333333	3
GCF_054578505.1	other	0.333333333333333	3
GCF_054578525.1	other	0.333333333333333	3
GCF_054578545.1	other	0	4
GCF_054578565.1	other	0.333333333333333	3
GCF_054578585.1	other	0.333333333333333	3
GCF_054578605.1	focal	0	2
GCF_054578625.1	other	0	3
GCF_054578645.1	other	0.4	5
GCF_054578665.1	other	0.75	4
GCF_054578685.1	other	0	2
GCF_054578705.1	other	0	5
GCF_054578725.1	other	0.333333333333333	3
GCF_054578745.1	other	0.333333333333333	3
GCF_054578765.1	other	0.333333333333333	3
GCF_054578785.1	other	1	1
GCF_054578805.1	other	0.333333333333333	3
GCF_054578825.1	other	0	5
GCF_054578845.1	other	0	3
GCF_054578865.1	other	0	1
GCF_054578885.1	focal	0	4
GCF_054578905.1	other	0	2
GCF_054578925.1	other	0.4	5
GCF_054578935.1	other	0	3
GCF_054578985.1	other	0	5
GCF_054579005.1	other	0	5
GCF_054579025.1	other	0	3
GCF_054579045.1	other	0	5
GCF_054579065.1	other	0	5
GCF_054579085.1	other	0	3
GCF_054579105.1	other	0	1
GCF_054579125.1	other	0	3
GCF_054579145.1	focal	0.25	4
GCF_054579165.1	other	0	2
GCF_054579185.1	other	0.125	8
GCF_054579205.1	other	0	3
GCF_054579225.1	other	0	5
GCF_054579245.1	other	0	3
GCF_054579265.1	other	0.285714285714286	7
GCF_054579285.1	other	0	3
GCF_054579305.1	other	0	5
GCF_054579325.1	other	0	3
GCF_054579345.1	other	0	5
GCF_054579365.1	other	0.333333333333333	3
GCF_054579405.1	other	0.333333333333333	3
GCF_054579425.1	focal	0	8
GCF_054579445.1	other	0.333333333333333	3
GCF_054579465.1	other	0	3
GCF_054579485.1	other	0.333333333333333	3
GCF_054579505.1	other	0	1
GCF_054579525.1	other	0	3
GCF_054579545.1	other	0	3
GCF_054579565.1	other	0	3
GCF_054579585.1	other	0.333333333333333	3
GCF_054579605.1	other	0	2
GCF_054579625.1	other	0	3
GCF_054579645.1	other	0	3
GCF_054579665.1	other	0	3
GCF_054579685.1	other	0	5
GCF_054579705.1	other	0	3
GCF_054579725.1	other	0	1
GCF_054579745.1	other	0.125	8
GCF_054579765.1	other	0.4	5
GCF_054579785.1	other	1	1
GCF_054579805.1	other	0.333333333333333	3
GCF_054579825.1	other	0.333333333333333	3
GCF_054579845.1	focal	0	2
GCF_054579865.1	other	0	3
GCF_054579885.1	other	0	3
GCF_054579905.1	other	0	3
GCF_054579925.1	other	0	2
GCF_054579945.1	other	0	3
GCF_054579965.1	other	0	3
GCF_054579985.1	other	0	2
GCF_054580005.1	other	0	5
GCF_054580025.1	other	0	3
GCF_054580045.1	other	0	3
GCF_054580065.1	other	0.5	2
GCF_054580085.1	other	0	3
GCF_054580105.1	other	0	5
GCF_054580125.1	other	0.333333333333333	3
GCF_054580165.1	other	0	3
GCF_054580185.1	other	0.333333333333333	3
GCF_054580205.1	other	0.75	4
GCF_054580225.1	other	0	3
GCF_054580245.1	other	1	3
GCF_054580265.1	other	0	5
GCF_054580285.1	other	0.666666666666667	3
GCF_054580305.1	other	0.5	2
GCF_054580325.1	other	0	3
GCF_054580345.1	other	0	2
GCF_054580365.1	other	0.1	10
GCF_054580385.1	other	0	2
GCF_054580405.1	other	0	2
GCF_054580425.1	other	0	3
GCF_054580445.1	other	0.5	2
GCF_054580465.1	other	0	4
GCF_054580505.1	other	0.666666666666667	3
GCF_054580525.1	other	0	3
GCF_054580545.1	other	0.333333333333333	3
GCF_054580565.1	other	0	2
GCF_054580585.1	other	0.333333333333333	3
GCF_054580605.1	other	0.5	2
GCF_054580625.1	other	0	1
GCF_054580645.1	other	0	1
GCF_054580665.1	other	0.666666666666667	3
GCF_054580685.1	other	0	4
GCF_054580705.1	other	0.333333333333333	3
GCF_054580725.1	other	0	5
GCF_054580745.1	other	0.333333333333333	3
GCF_054580765.1	other	0	2
GCF_054580785.1	other	0.333333333333333	3
GCF_054580805.1	other	0	3
GCF_054580825.1	other	1	1
GCF_054580845.1	other	0	5
GCF_054580855.1	focal	0.5	4
GCF_054580885.1	other	0.333333333333333	3
GCF_054580905.1	other	0	3
GCF_054580925.1	other	0	3
GCF_054580945.1	other	0.333333333333333	3
GCF_054580965.1	other	0	1
GCF_054580985.1	focal	0	3
GCF_054581005.1	other	0	3
GCF_054581025.1	other	0	5
GCF_054581045.1	other	0	4
GCF_054581065.1	other	0	3
GCF_054581085.1	other	0	3
GCF_054581105.1	other	0.333333333333333	3
GCF_054581125.1	other	0.333333333333333	3
GCF_054581145.1	other	1	1
GCF_054581165.1	other	0	3
GCF_054581185.1	focal	0	2
GCF_054581205.1	other	0	5
GCF_054581225.1	other	0	5
GCF_054581245.1	other	0	2
GCF_054581265.1	other	1	1
GCF_054581285.1	other	0	4
GCF_054581305.1	other	0	4
GCF_054581325.1	other	0	5
GCF_054581345.1	other	0	2
GCF_054581365.1	focal	0	4
GCF_054581385.1	focal	0	4
GCF_054581425.1	other	0	5
GCF_054581445.1	focal	0	2
GCF_054581465.1	other	0	5
GCF_054581485.1	focal	0.5	4
GCF_054581505.1	other	0	1
GCF_054581545.1	other	0	5
GCF_054581565.1	other	0.333333333333333	3
GCF_054581585.1	focal	0	5
GCF_054581605.1	other	0	5
GCF_054581625.1	other	0	3
GCF_054581665.1	other	0.666666666666667	3
GCF_054581685.1	other	0	3
GCF_054581705.1	other	0	5
GCF_054581725.1	other	0	5
GCF_054581745.1	other	0.222222222222222	9
GCF_054581765.1	other	0.2	10
GCF_054581785.1	other	0	3
GCF_054581805.1	other	0.5	4
GCF_054581825.1	other	1	2
GCF_054581845.1	other	0	2
GCF_054581885.1	other	0	3
GCF_054581905.1	other	0	5
GCF_054581925.1	other	1	1
GCF_054581945.1	other	1	1
GCF_054581965.1	other	0.333333333333333	3
GCF_054581985.1	other	0	3
GCF_054582005.1	other	0	3
GCF_054582025.1	other	0	5
GCF_054582065.1	other	0	5
GCF_054582085.1	other	0	5
GCF_054582105.1	other	0	5
GCF_054582125.1	other	0.333333333333333	3
GCF_054582145.1	other	0	3
GCF_054582165.1	other	0	3
GCF_054582185.1	other	0.5	2
GCF_054582205.1	other	0.4	5
GCF_054582225.1	other	0.4	5
GCF_054582245.1	other	0.333333333333333	3
GCF_054582265.1	other	0	3
GCF_054582285.1	other	0.5	2
GCF_054582305.1	other	0.333333333333333	3
GCF_054582325.1	other	0	5
GCF_054582345.1	other	0.333333333333333	3
GCF_054582365.1	other	0.333333333333333	3
GCF_054582385.1	other	0.333333333333333	3
GCF_054582405.1	other	0	3
GCF_054582425.1	other	0.333333333333333	3
GCF_054582445.1	other	0	3
GCF_054582465.1	other	0.5	2
GCF_054582485.1	other	0	2
GCF_054582505.1	other	0	1
GCF_054582525.1	other	0	5
GCF_054582545.1	other	0	5
GCF_054582565.1	other	0	3
GCF_054582585.1	other	0	5
GCF_054582625.1	other	0	5
GCF_054582645.1	other	0	3
GCF_054582665.1	other	0.333333333333333	3
GCF_054582685.1	other	0	5
GCF_055179635.1	other	1	34
GCF_055361585.1	other	0.983783783783784	185
GCF_055361625.1	other	0.958333333333333	48
GCF_055361645.1	other	0.941176470588235	34
GCF_055361665.1	other	0.941176470588235	34
GCF_055361685.1	other	0.521739130434783	46
GCF_055361705.1	other	0.941176470588235	34
GCF_055361715.1	other	0.941176470588235	34
GCF_055361745.1	other	0.92	50
GCF_055361765.1	other	0.974789915966386	119
GCF_055361785.1	other	0.75	16
GCF_055361805.1	other	0.710526315789474	76
GCF_055361825.1	other	0.941176470588235	34
GCF_055361835.1	other	0.941176470588235	34
GCF_055361865.1	other	0.914285714285714	35
GCF_055361885.1	other	0.958333333333333	48
GCF_055361905.1	other	0.950819672131147	61
GCF_055361925.1	other	0.695652173913044	46
GCF_055361945.1	other	0.695652173913044	46
GCF_055361965.1	other	0.680851063829787	94
GCF_055361975.1	other	0.974789915966386	119
GCF_055362005.1	other	0.941176470588235	34
GCF_055362025.1	other	0.950819672131147	61
GCF_055362045.1	other	0.96875	64
GCF_055362065.1	other	0.958333333333333	48
GCF_055362085.1	other	0.941176470588235	34
GCF_055362105.1	other	0.92	50
GCF_055362125.1	other	0.956043956043956	91
GCF_055378755.1	other	0.75	8
GCF_056154105.1	other	0	3
GCF_056154185.1	other	0	3
GCF_056154285.1	other	0	3
GCF_056154405.1	other	0	3
GCF_056154445.1	other	0	2
GCF_056154465.1	other	0	3
GCF_056154565.1	other	0	2
GCF_056154585.1	other	0	2
GCF_056154805.1	other	0	2
GCF_056154825.1	other	0	3
GCF_056154885.1	other	0	3
GCF_056155025.1	other	0	3
GCF_056156905.1	other	0	2
GCF_056156925.1	other	0	3
GCF_056157025.1	other	0	2
GCF_056157065.1	other	0	1
GCF_056157085.1	other	0	2
GCF_056157105.1	other	0.25	4
GCF_056157125.1	other	0.25	4
GCF_056157165.1	other	0	2
GCF_056157185.1	other	0	2
GCF_056157205.1	other	0	2
GCF_056157225.1	other	1	1
GCF_056157245.1	other	0.25	4
GCF_056157265.1	other	0	2
GCF_056157285.1	other	0.5	6
GCF_056157305.1	other	0	3
GCF_056157325.1	other	0	2
GCF_056157345.1	other	0	2
GCF_056157365.1	other	0.5	6
GCF_056157385.1	other	1	1
GCF_056157425.1	other	0.333333333333333	3
GCF_056157465.1	other	0.571428571428571	7
GCF_056157525.1	other	0.5	6
GCF_056157565.1	other	0.5	6
GCF_056157585.1	other	0.5	6
GCF_056157605.1	other	1	1
GCF_056157625.1	other	0	1
GCF_056157645.1	other	0.5	6
GCF_056157665.1	other	0	2
GCF_056157685.1	other	0.5	6
GCF_056431965.1	focal	0.25	4
GCF_056673365.1	other	0	4
GCF_056673385.1	other	0	4
GCF_056673395.1	other	0	4
GCF_056673405.1	other	0	4
GCF_056673415.1	other	0	4
GCF_056673425.1	other	0	4
GCF_056673435.1	other	0	4
GCF_056673445.1	other	0	4
GCF_056673455.1	other	0	4
GCF_056673465.1	other	0	4
GCF_056673475.1	other	0	4
GCF_056673485.1	other	0	4
GCF_056673495.1	other	0	4
GCF_056673505.1	other	0	4
GCF_056673515.1	other	0	4
GCF_056673525.1	other	0	4
GCF_056673545.1	other	0	4
GCF_056673555.1	focal	0.533333333333333	15
GCF_056673565.1	other	0	4
GCF_056673575.1	other	0	4
GCF_056673585.1	other	0	4
GCF_056673595.1	other	0	4
GCF_056673605.1	other	0	4
GCF_056673615.1	other	0	4
GCF_056673625.1	other	0	4
GCF_056673635.1	other	0	4
GCF_056673645.1	other	0	4
GCF_056673655.1	other	0	4
GCF_056673665.1	other	0	4
GCF_056673675.1	other	0.333333333333333	6
GCF_056673685.1	other	0.950819672131147	61
GCF_056673695.1	other	0.956521739130435	69
GCF_056673705.1	other	0.921875	64
GCF_056673715.1	other	0.986666666666667	75
GCF_056673725.1	other	0.983606557377049	61
GCF_056673735.1	other	0.941176470588235	51
GCF_056673745.1	other	0.941176470588235	51
GCF_056673755.1	other	0.941176470588235	51
GCF_056673765.1	other	0.941176470588235	51
GCF_056673775.1	other	0	4
GCF_056673785.1	other	0	4
GCF_056673795.1	other	0.987012987012987	77
GCF_056673805.1	other	0	4
GCF_056673815.1	other	0.945945945945946	74
GCF_056673825.1	other	0.981818181818182	55
GCF_056673835.1	other	0	4
GCF_900087555.1	other	0	2
GCF_900231885.1	other	0.666666666666667	3
GCF_900474455.1	focal	1	142
GCF_900474645.1	other	1	86
GCF_900474745.1	focal	1	46
GCF_900474765.1	focal	0.5	8
GCF_900474775.1	other	0.4	10
GCF_900474795.1	other	1	86
GCF_900474815.1	other	0.972972972972973	37
GCF_900474825.1	focal	1	6
GCF_900474835.1	focal	0.333333333333333	12
GCF_900474845.1	other	0.75	8
GCF_900474855.1	focal	0.909090909090909	66
GCF_900474865.1	focal	0.833333333333333	24
GCF_900474885.1	focal	0.983193277310924	119
GCF_900474895.1	other	0.571428571428571	14
GCF_900474915.1	focal	0.91304347826087	46
GCF_900474925.1	focal	0.555555555555556	9
GCF_900474935.1	focal	0.588235294117647	17
GCF_900474945.1	focal	1	26
GCF_900474955.1	other	1	86
GCF_900474965.1	focal	1	34
GCF_900474975.1	other	0.25	8
GCF_900474995.1	other	1	86
GCF_900475005.1	focal	0.966666666666667	60
GCF_900475035.1	other	0.333333333333333	6
GCF_900475075.1	focal	1	145
GCF_900475085.1	focal	0.571428571428571	7
GCF_900475105.1	focal	0.980891719745223	314
GCF_900475115.1	other	0.875	48
GCF_900475135.1	other	1	34
GCF_900475155.1	focal	0.4	10
GCF_900475165.1	focal	1	394
GCF_900475175.1	other	0.333333333333333	6
GCF_900475335.1	other	0.666666666666667	6
GCF_900475425.1	other	0	6
GCF_900475455.1	focal	1	6
GCF_900475465.1	focal	0.6	10
GCF_900475475.1	focal	0.6	10
GCF_900475485.1	other	0.985714285714286	140
GCF_900475495.1	other	0.666666666666667	6
GCF_900475525.1	focal	0.785714285714286	56
GCF_900475565.1	focal	0	4
GCF_900475615.1	focal	1	47
GCF_900475645.1	other	0.945454545454546	55
GCF_900475705.1	focal	0.785714285714286	28
GCF_900475765.1	other	0.894736842105263	57
GCF_900475785.1	other	0.714285714285714	28
GCF_900475795.1	focal	0.958333333333333	144
GCF_900475865.1	focal	0.875	16
GCF_900475875.1	focal	0.75	8
GCF_900475925.1	focal	0.966666666666667	60
GCF_900475955.1	other	0.941176470588235	34
GCF_900475985.1	other	0.4	10
GCF_900476015.1	other	0.478260869565217	46
GCF_900608505.1	other	0.521739130434783	46
GCF_900619585.1	other	0.521739130434783	46
GCF_900619595.1	other	0.862068965517241	58
GCF_900619605.1	other	0.608695652173913	46
GCF_900619615.1	other	1	6
GCF_900619625.1	other	0.75	16
GCF_900636485.1	focal	0.975757575757576	165
GCF_900636725.1	other	0.992753623188406	276
GCF_900982655.1	focal	0	2
GCF_900982675.1	focal	0	1
GCF_900982695.1	focal	1	1
GCF_900982705.1	focal	0.333333333333333	3
GCF_900982745.1	focal	0	2
GCF_900982765.1	focal	0.75	4
GCF_900982775.1	focal	0.333333333333333	3
GCF_900982805.1	focal	0	1
GCF_900982825.1	focal	0	2
GCF_900982855.1	focal	0	3
GCF_900982865.1	focal	0.5	6
GCF_900982875.1	focal	0	2
GCF_900982895.1	focal	0.6	5
GCF_900982905.1	other	1	2
GCF_900982925.1	focal	0.333333333333333	3
GCF_900982935.1	focal	0.666666666666667	3
GCF_900982965.1	focal	0.6	5
GCF_900982975.1	focal	0	4
GCF_900982985.1	focal	0.25	4
GCF_900982995.1	focal	1	1
GCF_900983015.1	other	0.125	8
GCF_900983025.1	focal	0	3
GCF_900983035.1	focal	0.333333333333333	3
GCF_900983045.1	focal	0	2
GCF_900983055.1	focal	0.333333333333333	3
GCF_900983085.1	focal	0	2
GCF_900983095.1	focal	0	1
GCF_900983105.1	other	1	1
GCF_900983115.1	focal	0.6	5
GCF_900983155.1	focal	0.166666666666667	6
GCF_900983205.1	focal	0	2
GCF_900983225.1	focal	0	1
GCF_900983245.1	other	1	3
GCF_900983255.1	focal	0	3
GCF_900983265.1	focal	0.5	4
GCF_900983275.1	other	0	2
GCF_900983285.1	other	0	1
GCF_900983295.1	other	0	2
GCF_900983305.1	focal	0.5	2
GCF_900983315.1	other	0	3
GCF_900983325.1	focal	0	3
GCF_900983335.1	other	0	3
GCF_900983365.1	other	0.166666666666667	6
GCF_900983375.1	focal	0	1
GCF_900983415.1	focal	0	1
GCF_900983435.1	focal	0.333333333333333	3
GCF_900983455.1	focal	0	1
GCF_900983465.1	other	0.5	8
GCF_900983505.1	other	0.642857142857143	14
GCF_900983525.1	focal	0.545454545454545	11
GCF_900983545.1	focal	0	3
GCF_900983555.1	other	0.5	4
GCF_900983575.1	focal	0	5
GCF_900983635.1	focal	0.4	5
GCF_900983675.1	focal	0	3
